,Name,Neighborhood,Price,Votes,agg_rating
260,Slabón Café Bistró (Costa del Este) ,Costa del Este,19,2223,12.6
261,Slabón Café Bistró (Obarrio) ,Obarrio,19,2094,12.8
539,Chinita ,Costa del Este,19,153,11.8
273,4 Bistro ,San Francisco,19,692,13.4
542,Laichin ,El Dorado/Bethania,19,78,11.4
269,Slabón Café Bistró (Multiplaza) ,Paitilla/Punta Pacifica,19,810,13
560,Rincón Habanero ,El Carmen/El Cangrejo,19,202,11.9
286,Taisei Ramen ,San Francisco,19,300,13.4
447,La Rana Dorada (Costa del Este) ,Costa del Este,19,263,12.7
499,Par de Pintas ,San Francisco,19,347,11.8
506,Leños y Carbon (Multicentro) ,Paitilla/Punta Pacifica,19,119,10.6
222,Ciao Bella Pizza (San Francisco) ,San Francisco,19,1810,13.2
468,Fulo's Gastrobar ,San Francisco,19,394,12.5
374,Slabón Café Bristó (Centennial) ,Condado del Rey,19,115,12.6
224,Crepes & Waffles (Marbella) ,Bella Vista,19,1641,13.1
355,Coyo Taco ,San Francisco,19,273,12.4
474,La Rana Dorada (San Francisco) ,San Francisco,19,243,12.3
225,Miranda Bakery & Cafe ,San Francisco,19,1524,12.8
477,Brew  Stop (Marbella) ,Marbella/Area Bancaria,19,218,12.7
351,Ciao Ragazzi (Via Brasil) ,Obarrio,19,308,12.7
398,Mar & Green ,Albrook/Clayton,19,320,12.7
336,Agliorosso (Costa del Este) ,Costa del Este,19,473,12.8
237,Dodó - Bon Pan Café ,Casco Antiguo,19,340,13.7
453,La Rana Dorada (Centennial) ,Condado del Rey,19,190,12.9
419,Kaifish (Sortis) ,Obarrio,19,121,13.1
406,Nomada Eatery (Casco Antiguo) ,Casco Antiguo,19,212,12.8
623,Jade ,San Francisco,19,88,10
314,Fratelli Pizza & Pasta ,San Francisco,19,1302,13.1
233,Sukhi (Area Bancaria) ,Marbella/Area Bancaria,19,553,12.6
503,Amore Mio ,Paitilla/Punta Pacifica,19,209,11.5
214,The Wallace ,Obarrio,20,84,13.9
241,Tambor de Oro ,San Francisco,20,224,12.7
213,Ciao Ragazzi (Costa del Este) ,Costa del Este,20,164,12.7
209,Fonda Lo Que Hay ,Casco Antiguo,20,283,13
574,365,El Carmen/El Cangrejo,20,109,12
247,So Hot ,Condado del Rey,20,125,13.4
259,Napoli ,Obarrio,20,2227,12.9
232,Nacionsushi (Multiplaza) ,Paitilla/Punta Pacifica,20,585,13.3
575,Fish Trap ,Albrook/Clayton,20,105,11.4
624,Istmo Brew (Condado del Rey) ,Condado del Rey,20,86,11.3
238,La Scarpetta ,Bella Vista,20,280,13.1
276,Fragoloso Trattoria ,Bella Vista,20,459,13.2
552,Puerto del Rey ,Condado del Rey,20,121,12.3
427,B-dubs ,Bella Vista,20,1209,13
262,Nacionsushi (Altaplaza Mall) ,Condado del Rey,20,1818,12.9
413,Bistrot de Paris ,Albrook/Clayton,20,178,13
452,Charro Mexicano (Costa del Este) ,Costa del Este,20,191,12.5
397,Maisa (Condado del Rey) ,Condado del Rey,20,322,12.3
390,Sanborns ,Paitilla/Punta Pacifica,20,451,12.6
464,La Rana Dorada (El Cangrejo) ,El Carmen/El Cangrejo,20,606,12.8
389,Orale Tacos & Tequilas (El Dorado) ,El Dorado/Bethania,20,472,12.3
466,Bros And Beers ,El Carmen/El Cangrejo,20,396,12.2
385,La Rana Dorada (Casco Antiguo) ,Casco Antiguo,20,653,13.4
470,Wings Army ,Marbella/Area Bancaria,20,358,12
352,Tomato Pub Edition (Costa del Este) ,Costa del Este,20,285,13.3
347,Full Lucky (Condado del Rey) ,Condado del Rey,20,335,12.2
496,Hooters (Bella Vista) ,Bella Vista,20,540,11.8
321,Charro Mexicano (San Francisco) ,San Francisco,20,945,12.7
446,Score Sport Bar ,Obarrio,20,273,12.4
316,Brava Pizza & Espuma (Altaplaza Mall) ,Condado del Rey,20,1167,12.9
317,The Corner 76 (Costa del Este) ,Costa del Este,20,1153,13
277,Ciao Ragazzi (Clayton) ,Albrook/Clayton,20,436,12.6
281,Brava Pizza & Espuma (Multiplaza) ,Paitilla/Punta Pacifica,20,348,13
291,Mahalo ,Casco Antiguo,20,218,13.1
521,Palacio Dorado ,El Dorado/Bethania,20,161,11.6
298,La Pimienta Bistro ,El Carmen/El Cangrejo,20,164,12.7
517,La Tapa del Frasco (Bella Vista) ,Bella Vista,20,185,12.3
512,El Guey ,Condado del Rey,20,433,11.9
311,Roadster's Diner (San Francisco) ,San Francisco,20,1907,13.4
509,Capital Cerveceria (San Francisco) ,San Francisco,20,85,12.8
313,Local ,San Francisco,20,1411,12.7
309,Piola ,San Francisco,20,2471,12.9
710,Lido ,Costa del Este,21,670,12.7
832,Arrecifes (Condado del Rey) ,Condado del Rey,21,211,12
838,Mouna Bistro ,Condado del Rey,21,86,12.9
712,Sushi Market (Clayton) ,Albrook/Clayton,21,613,12.9
708,Brava Pizza & Espuma (Town Center) ,Costa del Este,21,688,13.2
851,En la Fonda ,Marbella/Area Bancaria,21,787,12.7
701,Nacionsushi (Albrook) ,Albrook/Clayton,21,910,13.3
846,Chili's (Santa Maria) ,Costa del Este,21,336,12.5
696,Al Vecchio Forno ,San Francisco,21,1260,12.9
848,Hooters (Albrook) ,Albrook/Clayton,21,282,12.1
823,Tacos La Neta (Casco Antiguo) ,Casco Antiguo,21,482,12.4
676,Cuquita Cookita (San Francisco) ,San Francisco,21,186,13.6
703,Nacionsushi (San Francisco) ,San Francisco,21,859,13.1
727,Zi Maria ,Bella Vista,21,298,13.1
808,Orale Tacos & Tequilas (Costa del Este) ,Costa del Este,21,108,12.3
816,Pollo Limón by Mr. Limón (Altaplaza Mall) ,Condado del Rey,21,995,12.3
868,Istmo Brew Pub (San Francisco) ,San Francisco,21,271,11.4
810,Fonda Paraíso ,Casco Antiguo,21,77,13.3
747,Mika Bazar & Cafe ,Albrook/Clayton,21,765,13.2
749,Sunly (El Dorado) ,El Dorado/Bethania,21,667,12.4
754,El Brasero (Obarrio) ,Obarrio,21,501,12.9
801,Orale Tacos & Tequilas (Calle 50) ,Obarrio,21,191,12.7
800,Delicias Libanesas (Obarrio) ,Obarrio,21,212,12.7
765,Champions ,Marbella/Area Bancaria,21,245,12.7
797,T Bier Klooster Café Belga ,Casco Antiguo,21,322,13.1
796,Milanesa House ,San Francisco,21,366,11.8
777,Doscucharas (Costa del Este) ,Costa del Este,21,1031,13
789,W Peruvian Food ,Condado del Rey,21,568,12.3
818,Tacos La Neta (San Francisco) ,San Francisco,21,933,12.6
878,Mandaria O Mandarin ,El Dorado/Bethania,21,102,10.1
650,Nacionsushi (Costa del Este) ,Costa del Este,21,2481,13.3
647,La Cocina de Sofy ,San Francisco,21,86,13.2
632,The Fish Market (Casco Antiguo) ,Casco Antiguo,21,286,14.1
636,Tsugoi (El Cangrejo) ,El Carmen/El Cangrejo,21,2920,13.8
637,Tsugoi (San Francisco) ,San Francisco,21,2438,13.4
896,Gastro Bar At 507 ,El Carmen/El Cangrejo,21,88,11.8
646,Panama Seafood ,Costa del Este,21,95,13.4
891,Pips Gastropub ,Casco Antiguo,21,214,12.3
651,Lung Fung ,El Dorado/Bethania,21,2078,12.7
655,La Jarana ,San Francisco,21,1250,11.6
890,Picnic Food And Fun ,Costa del Este,21,87,13
786,Doscucharas (Obarrio) ,Obarrio,21,604,12.7
661,Solomon's Deli ,Paitilla/Punta Pacifica,21,887,13.3
912,Donde El Toro ,El Carmen/El Cangrejo,22,286,11.5
799,Kitchen  ,Paitilla/Punta Pacifica,22,245,12.9
893,Bek's ,Marbella/Area Bancaria,22,138,12.6
734,Hasaki Sushi Lounge ,Albrook/Clayton,22,109,13.4
654,Nacionsushi (Soho Mall) ,Obarrio,22,1406,13.3
704,Petit Paris (Marbella) ,Marbella/Area Bancaria,22,851,13
819,T.G.I. Friday's (Albrook) ,Albrook/Clayton,22,707,12.3
820,T.G.I. Friday's (Multiplaza) ,Paitilla/Punta Pacifica,22,688,12.2
875,El Caribe ,El Carmen/El Cangrejo,22,279,11.4
770,Malasaña Crib ,San Francisco,22,2438,12.9
785,Rino's ,El Carmen/El Cangrejo,22,607,12.3
887,Blarney Stone ,Bella Vista,22,113,12.7
764,Aki Sushi ,Casco Antiguo,22,267,13.1
905,The Shack ,Bella Vista,22,365,11.1
716,Cafe Bilal ,Costa del Este,22,515,13.3
837,Tataki (Calle 74 San Francisco) ,San Francisco,22,96,12.4
776,Pomodoro Ristorante  ,El Carmen/El Cangrejo,22,1151,12.4
656,Nacionsushi (Casco Antiguo) ,Casco Antiguo,22,1155,13.4
852,Chili's (Street Mall) ,San Francisco,22,759,12.1
865,Biergarten ,El Carmen/El Cangrejo,22,221,11.6
864,Hooch ,San Francisco,22,185,11.7
641,Calicanto Trattoria ,Casco Antiguo,22,857,13.2
894,La Estancia Steak House (San Francisco) ,San Francisco,22,136,11
630,Malasaña Crib ,San Francisco,22,2438,12.9
686,AglioRosso (Sortis) ,Obarrio,22,2292,13.3
767,Golden Dragon ,San Francisco,22,210,13.4
688,AglioRosso (Balboa Boutiques) ,Marbella/Area Bancaria,22,2037,13
781,T.G.I. Friday's (El Dorado) ,El Dorado/Bethania,22,778,12.6
643,Pisco Moon by Milenko Scepanovic ,San Francisco,23,166,13.6
675,PAUL (Bella Vista) ,Bella Vista,23,232,13.5
741,Café Madero ,Obarrio,23,1508,13.3
728,Marea ,Paitilla/Punta Pacifica,23,275,13.5
877,Byblos ,Obarrio,23,168,12.8
761,Pastissima (Condado del Rey) ,Condado del Rey,23,331,13.3
759,Habibis ,Bella Vista,23,339,12.5
644,Casa Volcan ,San Francisco,23,158,13.8
740,Golden Unicorn ,San Francisco,23,1528,12.7
739,Sushi Market (San Francisco Calle 66) ,San Francisco,23,1610,12.9
752,Cocina de La India ,Bella Vista,23,630,11.8
733,De Palo Pa Rumba ,El Carmen/El Cangrejo,23,196,13.4
814,Juana Tranquila ,Marbella/Area Bancaria,23,1309,12.8
881,La Spezia ,San Francisco,23,138,11.9
695,El Republicano ,San Francisco,23,1482,13
783,Lynchburg ,San Francisco,23,650,12.9
788,Smoke Shack ,Costa del Este,23,575,12.4
687,Asia Wok ,Marbella/Area Bancaria,23,2138,13.2
689,La Locanda (Obarrio) ,Obarrio,23,2017,13.2
792,El Huarique de Ricky ,Costa del Este,23,486,11.7
768,Gangnam Place ,El Carmen/El Cangrejo,23,207,11.5
873,Ozone Cafe ,Bella Vista,23,355,12.2
775,T.G.I. Friday's (Marbella) ,Marbella/Area Bancaria,23,1222,12.5
861,Ruby Tuesday ,Paitilla/Punta Pacifica,23,1335,11.5
700,Tataki (Clayton) ,Albrook/Clayton,23,947,13
794,Casa Bruja  ,Casco Antiguo,23,397,13
843,T.G.I. Friday's (Town Center) ,Costa del Este,23,604,12.1
842,Applebee's (Altaplaza Mall) ,Condado del Rey,23,1224,12.8
652,Ato Sushi ,Bella Vista,23,2046,13.2
709,Tataki (Multiplaza) ,Paitilla/Punta Pacifica,23,673,13.1
866,Stone Sport Café By Roberto Durán ,Obarrio,23,142,11.9
713,Nikkei Market Sushi (Punta Pacifica) ,Paitilla/Punta Pacifica,23,612,13.1
805,Dinastia Tang ,Costa del Este,23,148,12.7
715,Nina Café ,Obarrio,23,564,13.2
681,Soban ,El Carmen/El Cangrejo,23,82,12.8
803,Pedro Mandinga ,Casco Antiguo,24,161,13.4
787,La Locanda (Costa del Este) ,Costa del Este,24,588,12.7
758,Olive Garden ,Paitilla/Punta Pacifica,24,363,13.3
665,Chez Titi - Salon de Té ,Costa del Este,24,614,13.8
798,The Wine Bar ,El Carmen/El Cangrejo,24,279,12.4
913,Umai ,Bella Vista,24,103,11.2
795,Taberna 21 (Via Argentina) ,El Carmen/El Cangrejo,24,393,12.4
664,Salón Cantón (San Francisco) ,San Francisco,24,686,13.2
763,PAUL (Albrook Mall) ,Albrook/Clayton,24,276,13.1
635,Da Stefano Trattoria ,Bella Vista,24,352,13.7
889,Fontanella ,San Francisco,24,89,12.6
731,Nazca 21 (Costa del Este) ,Costa del Este,24,261,13.3
684,Tataki (Calle 61 Obarrio) ,Obarrio,24,3438,13.3
693,PAUL (Multiplaza) ,Paitilla/Punta Pacifica,24,1513,12.9
690,Tataki (Costa del Este) ,Costa del Este,24,1856,13.3
845,La Taberna del Canal ,Albrook/Clayton,24,380,12.3
699,Lucca Trattoria ,El Carmen/El Cangrejo,24,1106,13.4
653,Beirut (Area Bancaria) ,Marbella/Area Bancaria,24,1760,13.4
841,Tony Roma's ,Paitilla/Punta Pacifica,24,1467,11.8
751,Ciao Bella Gourmet (Soho City Center) ,Bella Vista,24,650,13
649,Agave Azul ,Paitilla/Punta Pacifica,24,2862,13.1
835,Darna's Bread Co (Punta Pacifica) ,Paitilla/Punta Pacifica,24,150,12.6
691,Guerrero Xian ,Obarrio,24,1670,13.3
831,Applebee's (Costa del Este) ,Costa del Este,24,226,13
723,El Mercadito Biologico ,San Francisco,24,353,13.1
821,Leños & Carbón (Multiplaza) ,Paitilla/Punta Pacifica,24,550,12.2
815,Jimmy's ,San Francisco,24,1133,11.8
743,Sushi Market (Costa del Este) ,Costa del Este,24,1109,12.6
745,Saquella Espresso (Multiplaza) ,Paitilla/Punta Pacifica,24,932,12.4
809,Pastissima (Altaplaza) ,Condado del Rey,24,86,13.1
680,The Raj ,El Carmen/El Cangrejo,24,85,12.9
658,Tataki (Condado del Rey) ,Condado del Rey,24,1119,13.7
860,Feeling (Casco Antiguo) ,Casco Antiguo,25,106,12.1
806,Leños & Carbón (Balboa Boutiques) ,Marbella/Area Bancaria,25,139,12.8
839,Frida Food & Lounge Amazonia ,Costa del Este,25,83,13.3
876,Leños y Carbon (altaplaza Mall) ,Condado del Rey,25,188,12.8
827,Bottle Alley ,Costa del Este,25,381,12.7
895,Canal Bistro ,Albrook/Clayton,25,132,12.1
888,Azul Pool Bar ,Paitilla/Punta Pacifica,25,91,12.5
886,Bar Blue  ,Marbella/Area Bancaria,25,149,12.5
742,Hard Rock Cafe ,Marbella/Area Bancaria,25,1118,13.5
642,Gentile Gourmet ,Costa del Este,25,853,13.6
662,Hikaru (Marbella) ,Marbella/Area Bancaria,25,783,13.2
784,Coliseum ,Casco Antiguo,25,614,12.5
692,Al Basha (Calle Uruguay) ,Marbella/Area Bancaria,25,1537,13.5
744,Mar de Grau ,El Carmen/El Cangrejo,25,1010,12.3
697,Tantalo Kitchen ,Casco Antiguo,25,1147,13.4
683,Spuntino Trattoria ,Obarrio,25,4175,13.4
762,Leños & Carbón (Altaplaza Mall) ,Condado del Rey,25,322,12.7
769,Leños y Carbon Gourmet (Soho Mall) ,Obarrio,25,127,12.6
634,Carbón y Sazón ,Marbella/Area Bancaria,25,838,13.8
711,Botánica Pizza. ,San Francisco,25,662,13.2
639,Asu Mare Peruvian Grill Cuisine ,San Francisco,25,1168,13.4
780,Tavola ,Costa del Este,25,786,12.5
698,Salón Canton (Costa del Este) ,Costa del Este,25,1142,13.2
748,Stefano's ,Paitilla/Punta Pacifica,25,670,12.8
663,Tío Navaja ,Casco Antiguo,26,707,13.2
854,La Papa (Costa del Este) ,Costa del Este,26,95,11.9
671,Saquella (Soho Mall) ,Obarrio,26,288,13.3
828,Corte Argentino (Costa del Este) ,Costa del Este,26,331,10.9
721,La Pampa (Marbella) ,Marbella/Area Bancaria,26,434,13.4
717,Alandalus ,San Francisco,26,509,12.8
648,P.F. Chang's. ,Paitilla/Punta Pacifica,26,3072,13.3
659,Pretelt Gourmet Meats (Costa del Este) ,Costa del Este,26,980,12.7
726,Do- Si- Rac ,San Francisco,26,311,12.4
724,Hikaru (Sortis) ,Obarrio,26,341,13.3
899,Ciao Restaurant ,Paitilla/Punta Pacifica,26,244,12.2
640,Masala ,Bella Vista,26,878,14.1
774,Casa Blanca ,Casco Antiguo,26,1265,13
766,Jade Garden ,El Dorado/Bethania,26,244,13
920,Red Lion (Multicentro) ,Paitilla/Punta Pacifica,26,205,10.6
729,Saquella (Casco Antiguo) ,Casco Antiguo,26,274,12.9
915,Barlovento  ,Casco Antiguo,26,189,11.8
917,Finca del Mar ,Casco Antiguo,26,207,11.6
750,Steinbock ,San Francisco,26,655,13.4
633,Nazca 21 (Casco Antiguo) ,Casco Antiguo,26,967,13.3
858,Frida Food & Lounge ,San Francisco,26,625,12.5
706,Fenicia (Sortis) ,Obarrio,26,775,12.9
804,La Taberna de Morgan ,Casco Antiguo,26,156,13.7
705,La Papa (Bella Vista) ,Bella Vista,26,806,13.2
884,54 East ,Obarrio,27,232,12.5
883,Decapolis Sushi Martini Bar ,Marbella/Area Bancaria,27,233,11.8
679,Oak ,Obarrio,27,94,13.3
678,La Negra Tomasa ,El Carmen/El Cangrejo,27,140,13.8
677,Kingpot ,El Dorado/Bethania,27,179,13.6
892,Mon Cocinas del Mundo ,Paitilla/Punta Pacifica,27,189,12.4
720,Saquella (Hilton) ,Marbella/Area Bancaria,27,437,13.1
645,Trattoria Gabriella ,Obarrio,27,134,14
825,Tinajas ,Bella Vista,27,398,12.9
670,Ottoman Kebab House ,Marbella/Area Bancaria,27,295,13.4
725,Arró Bistró ,San Francisco,27,316,13.7
822,Amano ,San Francisco,27,487,12.7
908,Malecon ,Casco Antiguo,27,102,12.3
807,Corte Argentino (Condado del Rey) ,Condado del Rey,27,134,12.7
772,Benihana ,Paitilla/Punta Pacifica,27,1737,12.3
773,Mr. Limón Express (Altaplaza Mall) ,Condado del Rey,27,1600,12.7
779,Paladar (Multiplaza) ,Paitilla/Punta Pacifica,27,966,12.9
824,Leños & Carbón (El Dorado) ,El Dorado/Bethania,27,412,12.6
667,Stefano y Tegi ,San Francisco,28,358,13.7
657,Malo ,San Francisco,28,1127,13.8
782,Casa Jaguar ,Casco Antiguo,28,697,12.7
673,Kava ,Obarrio,28,262,13.7
760,Estilo Campo ,San Francisco,28,335,12.7
757,Meze ,Bella Vista,28,382,13.3
753,Matsuei ,El Carmen/El Cangrejo,28,544,11.9
735,La Central ,Casco Antiguo,28,101,13.6
732,Tre Scalini (El Dorado) ,El Dorado/Bethania,28,239,13.1
844,Diablicos ,Casco Antiguo,28,559,12.6
756,Blue Moon TapHouse ,Casco Antiguo,28,386,13.5
853,Inédito ,Marbella/Area Bancaria,28,561,12.5
694,Il Grillo ,Costa del Este,29,1486,13.2
685,Hacienda Real ,Bella Vista,29,2933,13.2
669,Bruttito ,Paitilla/Punta Pacifica,29,339,13.6
668,Tre Scalini (Costa del Este) ,Costa del Este,29,348,13.5
746,Pastissima (Casco Antiguo) ,Casco Antiguo,29,849,13.2
909,Molas Hotel Panamá ,Marbella/Area Bancaria,29,90,11.6
738,Mr. Limón Express (Balboa Boutique) ,Marbella/Area Bancaria,29,3049,12.9
817,La Septima Central ,Casco Antiguo,29,979,12.5
916,Red Lion (Casco Viejo) ,Casco Antiguo,29,117,11.3
882,One Restaurant ,Paitilla/Punta Pacifica,29,373,12.5
707,Market ,Bella Vista,29,763,13.2
714,Puntarenas ,El Carmen/El Cangrejo,29,604,13.3
719,Tre Scalini (Area Bancaria) ,Bella Vista,29,477,13.1
736,Fandango ,Obarrio,30,101,13.6
660,Spice Market ,Obarrio,30,936,13.4
672,Laduree ,Obarrio,30,263,13.6
682,Mr. Limón (Costa del Este) ,Costa del Este,30,5542,13.2
907,Society Café ,Marbella/Area Bancaria,30,104,12.4
737,La Strega Ristorante ,Bella Vista,30,8246,13.1
902,Decapolis Fusion ,Marbella/Area Bancaria,30,87,11.6
826,Término Medio ,San Francisco,30,387,13.1
987,The Strangers Club ,Casco Antiguo,31,230,13.8
1014,La Fisheria ,Casco Antiguo,31,91,12.1
998,Parrillada Martin Fierro ,El Carmen/El Cangrejo,31,318,12.7
1003,L'osteria ,Casco Antiguo,31,868,12.5
978,Caminito's (Costa del Este) ,Costa del Este,31,824,12.7
1023,MoMa ,Obarrio,31,158,13
949,Muh Panama ,San Francisco,31,2807,13
1027,Milano ,Casco Antiguo,31,293,12.2
1029,Costa Nova ,Costa del Este,31,95,12.5
969,Cafe Bahia ,San Francisco,31,204,13.5
1024,Arts ,Bella Vista,31,130,12.6
1026,Aurum ,Paitilla/Punta Pacifica,32,268,12.7
1005,Numen ,Casco Antiguo,32,296,13.4
984,Abanda ,Marbella/Area Bancaria,32,454,13.4
989,Mercao ,Costa del Este,32,1942,13.3
981,The Dining Room At American Trade Hotel ,Casco Antiguo,32,672,13.7
974,Assisi ,San Francisco,33,1953,13.5
1030,Central Gastrobar ,Casco Antiguo,33,281,12.1
1025,Brio Brasserie ,Bella Vista,33,309,12.6
1028,Lula by Darna ,Obarrio,33,176,12.4
967,Corvina y Caña ,Marbella/Area Bancaria,33,318,13.6
1006,Marzola ,Casco Antiguo,33,169,13
965,Saril ,Marbella/Area Bancaria,33,444,13.6
1032,Panaviera Pool Bar ,Paitilla/Punta Pacifica,33,83,11.9
925,Casa Alejandro ,Bella Vista,33,1036,13.5
929,Miss Cho ,Obarrio,33,3275,13.9
950,Cinco (5inco) ,San Francisco,33,1539,13.7
948,Segundo Muelle (San Francisco) ,San Francisco,33,3911,13.5
956,Emma's ,Marbella/Area Bancaria,34,901,13.7
988,LOLA Mía ,Casco Antiguo,34,102,13.7
1002,Casa Tua (San Francisco) ,San Francisco,34,1276,13
937,Santa Rita ,Casco Antiguo,34,1123,14.1
1013,Lazotea Rooftop ,Casco Antiguo,34,1229,12.8
935,Segundo Muelle (Balboa Boutiques) ,Bella Vista,34,1352,14
940,La Vespa (Area Bancaria) ,Marbella/Area Bancaria,34,817,13.9
1015,Casa Casco (Terraza) ,Casco Antiguo,34,98,12.5
927,Muelle 67 ,San Francisco,34,394,12.5
964,Mostaza ,Casco Antiguo,34,454,13.3
961,Cafe Balear (Antiguo Jaleo) ,Bella Vista,34,520,13.5
1020,Wan Hao ,Condado del Rey,34,87,10.6
954,Casa Stizzoli ,San Francisco,34,998,13.9
1021,Soy Restaurant ,Paitilla/Punta Pacifica,35,454,13.1
968,Ginza Teppanyaki ,El Carmen/El Cangrejo,35,268,13.3
947,Lessep's Bistro ,Casco Antiguo,35,96,14.1
946,El Madroño Restaurante & Tapas ,Bella Vista,35,221,13.5
926,Siete Mares ,El Carmen/El Cangrejo,35,652,14.2
938,Patagonia Grill ,San Francisco,35,1007,13.2
985,Casa Escondida ,San Francisco,35,324,13.5
1009,Salsipuedes ,Marbella/Area Bancaria,36,664,13
999,Bay View ,Bella Vista,36,176,13.4
923,Bay View ,Bella Vista,36,176,13.4
1031,Barcelona ,Paitilla/Punta Pacifica,36,172,12
958,La Fragata ,Obarrio,36,760,13.7
962,Prime Steak House ,Obarrio,36,513,13.5
973,Casa Urrutia ,Obarrio,36,3127,13.4
994,Moró ,Bella Vista,36,373,13.7
944,Le Bistrot ,Marbella/Area Bancaria,37,450,13.6
963,Tanino Bistro ,San Francisco,37,477,12.9
952,Brazzeiro ,Obarrio,37,1138,13.6
936,Gaucho's Steak House ,Bella Vista,37,1279,13.5
933,Los Años Locos (San Francisco) ,San Francisco,37,2136,13.9
990,Bambú ,Costa del Este,38,999,13.4
953,Chin Chin ,Bella Vista,38,999,13.8
932,Os Segredos Da Carne ,Bella Vista,38,2277,13.8
1022,Solo Restaurante ,El Carmen/El Cangrejo,38,281,13.2
971,Niba ,Marbella/Area Bancaria,38,104,14
939,Los Años Locos (Atrio Mall) ,Costa del Este,38,966,14.1
1011,Bazaar Restaurant ,Paitilla/Punta Pacifica,38,365,12.8
1004,Aria ,Obarrio,38,525,13.3
983,Cascomar ,Casco Antiguo,38,591,13.7
942,La Posta ,Bella Vista,38,526,13.9
976,Grapes ,Casco Antiguo,38,1003,13.4
979,Maguro ,Marbella/Area Bancaria,39,715,13.5
980,Chalet Suizo ,El Carmen/El Cangrejo,39,711,13
931,Brutto ,San Francisco,39,2606,13.9
982,La Vespa (Hotel Trump) ,Paitilla/Punta Pacifica,39,668,13.7
975,Tomillo ,Casco Antiguo,39,1060,13.5
1019,Ginger ,Bella Vista,40,168,13
1012,Atlantic & Pacific Co. ,Albrook/Clayton,40,319,13.2
1010,Las Bóvedas ,Casco Antiguo,40,442,12.6
1000,Mestizo ,Costa del Este,40,165,13.4
